fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg,Rank
Israel Adesanya,193.04,185.0,203.2,Switch,1989-07-22,24,83%,5,17%,0,0%,0.0,0%,4.02,48%,3.2,55%,0.05,11%,76%,0.1,92
Amir Albazi,165.1,125.0,172.72,Orthodox,1993-10-27,17,89%,2,11%,0,0%,0.0,0%,2.72,34%,3.71,61%,1.39,32%,50%,0.5,18
Irene Aldana,175.26,135.0,172.72,Orthodox,1988-03-26,15,65%,8,35%,0,0%,0.0,0%,5.19,39%,6.64,56%,0.15,50%,77%,0.2,186
Arnold Allen,172.72,145.0,177.8,Southpaw,1994-01-22,20,87%,3,13%,0,0%,0.0,0%,3.45,41%,2.88,61%,0.93,47%,75%,0.3,52
Brendan Allen,187.96,185.0,190.5,Orthodox,1995-12-28,24,80%,6,20%,0,0%,0.0,0%,3.79,53%,3.83,46%,1.67,39%,58%,1.3,99
Asu Almabayev,162.56,125.0,165.1,Orthodox,1994-01-25,21,91%,2,9%,0,0%,0.0,0%,2.11,56%,1.02,59%,5.08,50%,50%,1.7,23
Jailton Almeida,190.5,205.0,200.66,Orthodox,1991-06-26,22,88%,3,12%,0,0%,0.0,0%,2.62,65%,0.89,41%,6.58,60%,60%,2.4,126
Magomed Ankalaev,190.5,205.0,190.5,Orthodox,1992-06-02,20,87%,1,4%,1,4%,1.0,4%,3.64,52%,2.37,58%,0.92,31%,86%,0.0,106
Kai Asakura,172.72,125.0,175.26,Orthodox,1993-10-31,21,81%,5,19%,0,0%,0.0,0%,2.4,58%,4.52,38%,0.0,0%,57%,0.0,29
Tom Aspinall,195.58,256.0,198.12,Orthodox,1993-04-11,15,83%,3,17%,0,0%,0.0,0%,8.07,67%,2.89,65%,3.27,100%,100%,1.6,8
Julia Avila,170.18,135.0,172.72,Orthodox,1988-05-11,9,69%,4,31%,0,0%,0.0,0%,2.81,42%,3.28,55%,0.63,37%,52%,0.2,192
Maycee Barber,165.1,125.0,165.1,Switch,1998-05-18,14,88%,2,12%,0,0%,0.0,0%,4.7,53%,2.9,54%,1.44,43%,53%,0.1,150
Edson Barboza,180.34,145.0,190.5,Orthodox,1986-01-21,24,67%,12,33%,0,0%,0.0,0%,4.11,44%,4.65,56%,0.45,50%,72%,0.1,60
Mario Bautista,175.26,135.0,175.26,Switch,1993-07-01,15,88%,2,12%,0,0%,0.0,0%,5.33,47%,3.91,54%,1.92,33%,66%,0.9,40
Erin Blanchfield,162.56,125.0,167.64,Orthodox,1999-05-04,13,87%,2,13%,0,0%,0.0,0%,5.24,44%,4.21,59%,1.86,31%,80%,0.8,141
Curtis Blaydes,193.04,265.0,203.2,Orthodox,1991-02-18,18,75%,5,21%,0,0%,1.0,4%,3.54,50%,1.91,58%,5.69,53%,31%,0.0,125
Caio Borralho,185.42,185.0,190.5,Southpaw,1993-01-16,17,89%,1,5%,0,0%,1.0,5%,3.61,60%,2.34,62%,1.56,60%,76%,0.5,96
